name,location,得票率,得票數,姓名,號次
臺北市大安區仁愛里,"<Polygon><outerBoundaryIs><LinearRing><coordinates>121.548077,25.041547,0.0 121.547224,25.041568,0.0 121.547183,25.041569,0.0 121.546446,25.041589,0.0 121.546177,25.041596,0.0 121.546161,25.041596,0.0 121.546098,25.041597,0.0 121.545676,25.041602,0.0 121.545541,25.041603,0.0 121.545523,25.041604,0.0 121.545285,25.041609,0.0 121.545248,25.041609,0.0 121.545225,25.041609,0.0 121.544664,25.041614,0.0 121.544495,25.041615,0.0 121.543784,25.041623,0.0 121.543755,25.04066,0.0 121.543754,25.040616,0.0 121.543753,25.040571,0.0 121.54374,25.039835,0.0 121.54374,25.039819,0.0 121.54372,25.039047,0.0 121.54372,25.039019,0.0 121.54371,25.038023,0.0 121.543709,25.037974,0.0 121.543884,25.03797,0.0 121.543923,25.037958,0.0 121.544372,25.03795,0.0 121.544381,25.037949,0.0 121.545171,25.037941,0.0 121.545206,25.037941,0.0 121.546044,25.037917,0.0 121.54606,25.037917,0.0 121.546082,25.037922,0.0 121.547094,25.037896,0.0 121.547114,25.037895,0.0 121.547415,25.037888,0.0 121.547527,25.037887,0.0 121.547957,25.037883,0.0 121.548234,25.037867,0.0 121.548388,25.037863,0.0 121.548733,25.037861,0.0 121.54887,25.03786,0.0 121.548871,25.03792,0.0 121.548871,25.03796,0.0 121.548872,25.038267,0.0 121.548874,25.038651,0.0 121.548876,25.038912,0.0 121.548876,25.038952,0.0 121.548879,25.039707,0.0 121.54888,25.039747,0.0 121.548881,25.040146,0.0 121.548885,25.04025,0.0 121.54889,25.040395,0.0 121.548892,25.040433,0.0 121.548894,25.040539,0.0 121.548912,25.041526,0.0 121.548887,25.041527,0.0 121.548111,25.041546,0.0 121.548077,25.041547,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",2.29%,63,潘翰聲,7
臺北市大安區仁慈里,"<Polygon><outerBoundaryIs><LinearRing><coordinates>121.54606,25.037917,0.0 121.546044,25.037917,0.0 121.545206,25.037941,0.0 121.545171,25.037941,0.0 121.544381,25.037949,0.0 121.544372,25.03795,0.0 121.543923,25.037958,0.0 121.543884,25.03797,0.0 121.543709,25.037974,0.0 121.543693,25.037165,0.0 121.543693,25.03713,0.0 121.543686,25.036825,0.0 121.543686,25.036784,0.0 121.543672,25.03609,0.0 121.543671,25.036046,0.0 121.543665,25.03576,0.0 121.543662,25.035618,0.0 121.543662,25.035598,0.0 121.543659,25.035474,0.0 121.543652,25.035137,0.0 121.543651,25.035081,0.0 121.543651,25.035047,0.0 121.543626,25.033826,0.0 121.543617,25.033377,0.0 121.543833,25.033372,0.0 121.543894,25.033371,0.0 121.544265,25.033363,0.0 121.544392,25.033361,0.0 121.544637,25.033356,0.0 121.544659,25.033356,0.0 121.545067,25.033348,0.0 121.545098,25.033347,0.0 121.545467,25.03334,0.0 121.545804,25.033333,0.0 121.545971,25.03333,0.0 121.54598,25.03376,0.0 121.545983,25.033945,0.0 121.545984,25.03398,0.0 121.545989,25.034251,0.0 121.545989,25.034267,0.0 121.54599,25.034299,0.0 121.545994,25.034494,0.0 121.545997,25.03469,0.0 121.545998,25.03473,0.0 121.546005,25.03509,0.0 121.546006,25.035123,0.0 121.546015,25.035556,0.0 121.546015,25.035588,0.0 121.546023,25.036004,0.0 121.546023,25.03603,0.0 121.546023,25.036039,0.0 121.546031,25.03642,0.0 121.546031,25.036454,0.0 121.546037,25.036739,0.0 121.546037,25.03677,0.0 121.546038,25.036812,0.0 121.546039,25.036851,0.0 121.546046,25.037191,0.0 121.546046,25.037231,0.0 121.54606,25.037917,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",3.64%,103,潘翰聲,7
臺北市大安區住安里,"<Polygon><outerBoundaryIs><LinearRing><coordinates>121.545971,25.03333,0.0 121.545804,25.033333,0.0 121.545467,25.03334,0.0 121.545098,25.033347,0.0 121.545067,25.033348,0.0 121.544659,25.033356,0.0 121.544637,25.033356,0.0 121.544392,25.033361,0.0 121.544265,25.033363,0.0 121.543894,25.033371,0.0 121.543833,25.033372,0.0 121.543617,25.033377,0.0 121.543617,25.033363,0.0 121.543605,25.032834,0.0 121.543603,25.032759,0.0 121.543593,25.032293,0.0 121.543588,25.032053,0.0 121.543581,25.031747,0.0 121.543566,25.03108,0.0 121.54356,25.0308,0.0 121.543553,25.030477,0.0 121.543588,25.030524,0.0 121.543788,25.0308,0.0 121.543823,25.030848,0.0 121.54383,25.030857,0.0 121.543888,25.030938,0.0 121.54396,25.031069,0.0 121.544634,25.031055,0.0 121.545159,25.031042,0.0 121.545429,25.031035,0.0 121.546099,25.031024,0.0 121.546964,25.031009,0.0 121.547066,25.031007,0.0 121.547989,25.030996,0.0 121.548023,25.030996,0.0 121.548478,25.030982,0.0 121.548805,25.030972,0.0 121.548808,25.031395,0.0 121.548809,25.031418,0.0 121.548809,25.031422,0.0 121.548815,25.032095,0.0 121.548815,25.032118,0.0 121.548819,25.032486,0.0 121.548822,25.032578,0.0 121.548822,25.032609,0.0 121.548832,25.033021,0.0 121.548838,25.033248,0.0 121.548838,25.033265,0.0 121.548825,25.033265,0.0 121.548557,25.033271,0.0 121.548092,25.03328,0.0 121.548076,25.03328,0.0 121.54805,25.033281,0.0 121.547175,25.033305,0.0 121.546002,25.033329,0.0 121.545971,25.03333,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",2.42%,69,潘翰聲,7
臺北市大安區光信里,"<Polygon><outerBoundaryIs><LinearRing><coordinates>121.555498,25.037697,0.0 121.555456,25.037698,0.0 121.55455,25.037725,0.0 121.554505,25.037726,0.0 121.554466,25.037727,0.0 121.55446,25.037035,0.0 121.55446,25.037005,0.0 121.554456,25.036629,0.0 121.554456,25.036619,0.0 121.554456,25.036591,0.0 121.554455,25.036439,0.0 121.554455,25.036404,0.0 121.554453,25.036241,0.0 121.554453,25.036205,0.0 121.554451,25.03603,0.0 121.554449,25.035821,0.0 121.554449,25.035789,0.0 121.554447,25.035596,0.0 121.554446,25.035466,0.0 121.554438,25.035457,0.0 121.55443,25.035448,0.0 121.554405,25.035416,0.0 121.554377,25.035382,0.0 121.554787,25.034924,0.0 121.554813,25.034895,0.0 121.555048,25.034634,0.0 121.555026,25.03462,0.0 121.554872,25.034524,0.0 121.554709,25.034423,0.0 121.554695,25.034415,0.0 121.554702,25.034411,0.0 121.554891,25.034304,0.0 121.555394,25.034019,0.0 121.555524,25.033946,0.0 121.555829,25.033774,0.0 121.556036,25.033657,0.0 121.556076,25.033634,0.0 121.556304,25.033502,0.0 121.556304,25.033482,0.0 121.556309,25.033111,0.0 121.556605,25.033104,0.0 121.556617,25.033104,0.0 121.557239,25.033089,0.0 121.557492,25.033095,0.0 121.557495,25.033244,0.0 121.557502,25.03363,0.0 121.557502,25.033653,0.0 121.557506,25.033852,0.0 121.557506,25.033873,0.0 121.557513,25.034249,0.0 121.557516,25.034382,0.0 121.557527,25.034982,0.0 121.557528,25.035073,0.0 121.557534,25.035376,0.0 121.557534,25.035406,0.0 121.557536,25.035506,0.0 121.557543,25.035883,0.0 121.557549,25.036174,0.0 121.557549,25.036201,0.0 121.557553,25.036427,0.0 121.557555,25.036538,0.0 121.55756,25.036815,0.0 121.557561,25.036844,0.0 121.557562,25.036878,0.0 121.557568,25.037203,0.0 121.557569,25.037277,0.0 121.557577,25.037702,0.0 121.556931,25.0377,0.0 121.556918,25.0377,0.0 121.556609,25.037699,0.0 121.556186,25.037698,0.0 121.555814,25.037697,0.0 121.555498,25.037697,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",2.67%,119,潘翰聲,7
臺北市大安區光明里,"<Polygon><outerBoundaryIs><LinearRing><coordinates>121.527262,25.034083,0.0 121.527128,25.03411,0.0 121.526761,25.034288,0.0 121.526753,25.034291,0.0 121.52652,25.034404,0.0 121.525851,25.034729,0.0 121.525786,25.034761,0.0 121.525768,25.034769,0.0 121.52576,25.034773,0.0 121.525741,25.034782,0.0 121.525373,25.034955,0.0 121.525365,25.034959,0.0 121.525356,25.034963,0.0 121.525027,25.035118,0.0 121.524973,25.035143,0.0 121.524955,25.035152,0.0 121.524522,25.035355,0.0 121.524331,25.035476,0.0 121.524305,25.035441,0.0 121.524241,25.035355,0.0 121.52416,25.035244,0.0 121.523849,25.034737,0.0 121.523675,25.034453,0.0 121.523651,25.034414,0.0 121.523391,25.03399,0.0 121.523378,25.033967,0.0 121.522887,25.033146,0.0 121.522876,25.033126,0.0 121.522725,25.032874,0.0 121.522584,25.032637,0.0 121.522487,25.032474,0.0 121.522563,25.032344,0.0 121.522558,25.03232,0.0 121.522584,25.032308,0.0 121.523464,25.032175,0.0 121.523468,25.032174,0.0 121.524093,25.032079,0.0 121.524094,25.032079,0.0 121.526769,25.031723,0.0 121.526847,25.031713,0.0 121.526872,25.03171,0.0 121.527049,25.032734,0.0 121.52709,25.032974,0.0 121.527094,25.032997,0.0 121.527101,25.033037,0.0 121.527193,25.033506,0.0 121.527262,25.034083,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",3.63%,67,潘翰聲,7
臺北市大安區光武里,"<Polygon><outerBoundaryIs><LinearRing><coordinates>121.546751,25.04511,0.0 121.546735,25.045112,0.0 121.546251,25.045065,0.0 121.546234,25.045063,0.0 121.546186,25.045058,0.0 121.546048,25.045045,0.0 121.546036,25.045044,0.0 121.546025,25.045043,0.0 121.545977,25.045038,0.0 121.545301,25.044971,0.0 121.545071,25.044949,0.0 121.545059,25.044948,0.0 121.545051,25.044947,0.0 121.545004,25.044943,0.0 121.544538,25.044904,0.0 121.544304,25.044884,0.0 121.54423,25.044878,0.0 121.544219,25.044877,0.0 121.543873,25.044847,0.0 121.543855,25.044783,0.0 121.543853,25.044701,0.0 121.543853,25.0447,0.0 121.543845,25.044343,0.0 121.543845,25.044319,0.0 121.543844,25.044277,0.0 121.543843,25.044239,0.0 121.543843,25.04423,0.0 121.543837,25.043994,0.0 121.543837,25.043986,0.0 121.54383,25.043656,0.0 121.543829,25.043621,0.0 121.543821,25.043257,0.0 121.54382,25.043233,0.0 121.543817,25.043085,0.0 121.543817,25.043073,0.0 121.543809,25.042718,0.0 121.543808,25.042676,0.0 121.543804,25.042484,0.0 121.5438,25.042326,0.0 121.5438,25.04232,0.0 121.543794,25.042059,0.0 121.543785,25.041643,0.0 121.543784,25.041623,0.0 121.544495,25.041615,0.0 121.544664,25.041614,0.0 121.545225,25.041609,0.0 121.545248,25.041609,0.0 121.545285,25.041609,0.0 121.545523,25.041604,0.0 121.545541,25.041603,0.0 121.545676,25.041602,0.0 121.546098,25.041597,0.0 121.546161,25.041596,0.0 121.546177,25.041596,0.0 121.546446,25.041589,0.0 121.547183,25.041569,0.0 121.547224,25.041568,0.0 121.548077,25.041547,0.0 121.548111,25.041546,0.0 121.548887,25.041527,0.0 121.548912,25.041526,0.0 121.54891,25.042068,0.0 121.548909,25.042578,0.0 121.548909,25.042609,0.0 121.548923,25.043513,0.0 121.548923,25.04356,0.0 121.548941,25.044694,0.0 121.54894,25.044698,0.0 121.54894,25.044748,0.0 121.54894,25.044797,0.0 121.54894,25.044837,0.0 121.548906,25.04484,0.0 121.548168,25.044942,0.0 121.54815,25.044944,0.0 121.548126,25.044948,0.0 121.548115,25.044949,0.0 121.548057,25.044958,0.0 121.547325,25.045043,0.0 121.547285,25.045048,0.0 121.547268,25.045049,0.0 121.547229,25.045054,0.0 121.547205,25.045057,0.0 121.546751,25.04511,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",2.14%,88,潘翰聲,7
臺北市大安區全安里,"<Polygon><outerBoundaryIs><LinearRing><coordinates>121.55097,25.028573,0.0 121.55096,25.028598,0.0 121.550794,25.029032,0.0 121.550685,25.028933,0.0 121.550582,25.028839,0.0 121.550242,25.028531,0.0 121.550129,25.028428,0.0 121.550112,25.028408,0.0 121.549914,25.028174,0.0 121.549867,25.028076,0.0 121.549854,25.028049,0.0 121.548813,25.028127,0.0 121.548792,25.028128,0.0 121.548792,25.028104,0.0 121.54879,25.027769,0.0 121.548783,25.026819,0.0 121.54877,25.026281,0.0 121.548761,25.025859,0.0 121.548753,25.02548,0.0 121.548752,25.025434,0.0 121.548744,25.02511,0.0 121.548742,25.024996,0.0 121.548732,25.024568,0.0 121.549488,25.024531,0.0 121.549501,25.024531,0.0 121.549581,25.024518,0.0 121.549975,25.024495,0.0 121.549982,25.024495,0.0 121.550318,25.024475,0.0 121.550621,25.024468,0.0 121.550734,25.024462,0.0 121.550739,25.024462,0.0 121.551227,25.024435,0.0 121.551274,25.024433,0.0 121.551281,25.024433,0.0 121.55129,25.024432,0.0 121.551307,25.024431,0.0 121.551535,25.024422,0.0 121.551546,25.024421,0.0 121.551829,25.024409,0.0 121.551832,25.024409,0.0 121.552172,25.024394,0.0 121.552374,25.024378,0.0 121.552388,25.024371,0.0 121.552574,25.024361,0.0 121.552436,25.024722,0.0 121.552368,25.024901,0.0 121.552367,25.024904,0.0 121.552147,25.025482,0.0 121.552007,25.02585,0.0 121.552002,25.025863,0.0 121.551998,25.025873,0.0 121.551996,25.025877,0.0 121.551987,25.0259,0.0 121.55171,25.02663,0.0 121.551701,25.026656,0.0 121.551537,25.027085,0.0 121.551404,25.027434,0.0 121.551398,25.027451,0.0 121.551267,25.027794,0.0 121.551128,25.028158,0.0 121.551126,25.028164,0.0 121.551119,25.028184,0.0 121.55097,25.028573,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",2.52%,61,潘翰聲,7
臺北市大安區古莊里,"<Polygon><outerBoundaryIs><LinearRing><coordinates>121.525942,25.02679,0.0 121.52559,25.026823,0.0 121.525305,25.026849,0.0 121.525224,25.026857,0.0 121.52504,25.026873,0.0 121.525019,25.026875,0.0 121.524977,25.026879,0.0 121.524964,25.02688,0.0 121.524764,25.026899,0.0 121.524524,25.026921,0.0 121.524523,25.026921,0.0 121.524344,25.026937,0.0 121.524314,25.02694,0.0 121.523934,25.026975,0.0 121.523926,25.026976,0.0 121.523897,25.026978,0.0 121.523378,25.027014,0.0 121.522636,25.027065,0.0 121.522559,25.027071,0.0 121.522448,25.027079,0.0 121.522426,25.02708,0.0 121.522455,25.027043,0.0 121.522761,25.026632,0.0 121.522778,25.026609,0.0 121.522972,25.026348,0.0 121.523053,25.026241,0.0 121.523066,25.026224,0.0 121.523066,25.026222,0.0 121.523262,25.025961,0.0 121.523347,25.025847,0.0 121.523357,25.025834,0.0 121.523401,25.025774,0.0 121.523584,25.025529,0.0 121.523738,25.025323,0.0 121.524267,25.024614,0.0 121.52427,25.02461,0.0 121.524363,25.024486,0.0 121.524451,25.024367,0.0 121.524611,25.024153,0.0 121.524806,25.023899,0.0 121.524909,25.023764,0.0 121.525038,25.0236,0.0 121.525104,25.023524,0.0 121.525145,25.023476,0.0 121.525356,25.023211,0.0 121.52537,25.023197,0.0 121.525481,25.023085,0.0 121.525509,25.023056,0.0 121.525675,25.022904,0.0 121.525845,25.022747,0.0 121.525959,25.022642,0.0 121.526156,25.022459,0.0 121.526322,25.022306,0.0 121.52633,25.022299,0.0 121.526604,25.022063,0.0 121.526606,25.022062,0.0 121.526649,25.022025,0.0 121.526956,25.02176,0.0 121.527064,25.021667,0.0 121.527147,25.021595,0.0 121.527229,25.021525,0.0 121.527233,25.021521,0.0 121.527629,25.02118,0.0 121.527893,25.021449,0.0 121.528006,25.021586,0.0 121.528011,25.021591,0.0 121.528024,25.021608,0.0 121.528036,25.021622,0.0 121.528163,25.021774,0.0 121.528204,25.021843,0.0 121.528284,25.021976,0.0 121.528337,25.022159,0.0 121.528343,25.02218,0.0 121.528347,25.022201,0.0 121.528349,25.022214,0.0 121.528392,25.02254,0.0 121.528396,25.022573,0.0 121.528415,25.022759,0.0 121.528428,25.022889,0.0 121.528432,25.022931,0.0 121.528434,25.022951,0.0 121.528436,25.022968,0.0 121.528451,25.023112,0.0 121.528462,25.023215,0.0 121.528467,25.023271,0.0 121.528468,25.023277,0.0 121.528471,25.023303,0.0 121.528472,25.023314,0.0 121.528486,25.023453,0.0 121.5285,25.023598,0.0 121.5285,25.023601,0.0 121.528502,25.02362,0.0 121.528503,25.023633,0.0 121.528534,25.023971,0.0 121.528534,25.023975,0.0 121.528537,25.024008,0.0 121.528537,25.024017,0.0 121.528561,25.024253,0.0 121.528573,25.024373,0.0 121.528599,25.02463,0.0 121.528602,25.02466,0.0 121.52859,25.024696,0.0 121.528574,25.024743,0.0 121.528573,25.024747,0.0 121.528462,25.025079,0.0 121.528373,25.025284,0.0 121.528501,25.026578,0.0 121.528503,25.026593,0.0 121.528007,25.026631,0.0 121.527972,25.026634,0.0 121.527334,25.026683,0.0 121.527229,25.026692,0.0 121.526783,25.026732,0.0 121.525942,25.02679,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",3.12%,123,潘翰聲,7
臺北市大安區古風里,"<Polygon><outerBoundaryIs><LinearRing><coordinates>121.531297,25.023251,0.0 121.530617,25.023422,0.0 121.530545,25.023436,0.0 121.530496,25.023446,0.0 121.530136,25.023476,0.0 121.530125,25.023477,0.0 121.529935,25.023492,0.0 121.52939,25.023537,0.0 121.529368,25.023539,0.0 121.529358,25.023539,0.0 121.5285,25.023601,0.0 121.5285,25.023598,0.0 121.528486,25.023453,0.0 121.528472,25.023314,0.0 121.528471,25.023303,0.0 121.528468,25.023277,0.0 121.528467,25.023271,0.0 121.528462,25.023215,0.0 121.528451,25.023112,0.0 121.528436,25.022968,0.0 121.528434,25.022951,0.0 121.528432,25.022931,0.0 121.528428,25.022889,0.0 121.528415,25.022759,0.0 121.528396,25.022573,0.0 121.528392,25.02254,0.0 121.528349,25.022214,0.0 121.528347,25.022201,0.0 121.528343,25.02218,0.0 121.528337,25.022159,0.0 121.528284,25.021976,0.0 121.528204,25.021843,0.0 121.528163,25.021774,0.0 121.528036,25.021622,0.0 121.528024,25.021608,0.0 121.528011,25.021591,0.0 121.528006,25.021586,0.0 121.527893,25.021449,0.0 121.527629,25.02118,0.0 121.527727,25.021096,0.0 121.527754,25.021073,0.0 121.528031,25.020828,0.0 121.528213,25.020667,0.0 121.528241,25.020642,0.0 121.528538,25.020379,0.0 121.5291,25.019883,0.0 121.52911,25.019874,0.0 121.529123,25.01986,0.0 121.529234,25.019749,0.0 121.529268,25.019714,0.0 121.52928,25.019702,0.0 121.529304,25.019723,0.0 121.529741,25.020099,0.0 121.52977,25.020123,0.0 121.530422,25.020681,0.0 121.530455,25.020708,0.0 121.530725,25.02094,0.0 121.530758,25.020968,0.0 121.531344,25.021469,0.0 121.531691,25.021766,0.0 121.531705,25.021778,0.0 121.531717,25.021787,0.0 121.531694,25.021812,0.0 121.531656,25.021853,0.0 121.531556,25.02196,0.0 121.531186,25.022336,0.0 121.531177,25.022346,0.0 121.531211,25.022606,0.0 121.531214,25.022631,0.0 121.531249,25.022888,0.0 121.531256,25.022938,0.0 121.531274,25.023081,0.0 121.531297,25.023251,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",2.43%,59,潘翰聲,7
臺北市大安區和安里,"<Polygon><outerBoundaryIs><LinearRing><coordinates>121.543709,25.037974,0.0 121.543685,25.037974,0.0 121.543428,25.03798,0.0 121.543349,25.037968,0.0 121.543007,25.037975,0.0 121.54299,25.037975,0.0 121.542213,25.037992,0.0 121.542033,25.037995,0.0 121.541957,25.037997,0.0 121.541294,25.038011,0.0 121.541257,25.038011,0.0 121.540994,25.038017,0.0 121.53983,25.038041,0.0 121.538147,25.038076,0.0 121.538116,25.038085,0.0 121.537961,25.038126,0.0 121.537902,25.038141,0.0 121.5379,25.03813,0.0 121.537896,25.038089,0.0 121.537869,25.03685,0.0 121.537868,25.036834,0.0 121.537867,25.036798,0.0 121.537865,25.03668,0.0 121.53786,25.036458,0.0 121.537859,25.036417,0.0 121.537853,25.036169,0.0 121.537853,25.036138,0.0 121.537852,25.036097,0.0 121.537851,25.036065,0.0 121.537843,25.035694,0.0 121.537843,25.035667,0.0 121.537842,25.035655,0.0 121.537834,25.035293,0.0 121.537833,25.035259,0.0 121.537832,25.035217,0.0 121.537831,25.035179,0.0 121.537826,25.034945,0.0 121.537825,25.034913,0.0 121.537817,25.034543,0.0 121.537816,25.034514,0.0 121.537816,25.034497,0.0 121.537815,25.034433,0.0 121.537809,25.034175,0.0 121.537802,25.033879,0.0 121.537794,25.033522,0.0 121.537862,25.033521,0.0 121.538036,25.033519,0.0 121.538077,25.033509,0.0 121.538141,25.033494,0.0 121.538617,25.033495,0.0 121.538643,25.033495,0.0 121.539196,25.03348,0.0 121.539458,25.033477,0.0 121.539484,25.033476,0.0 121.539493,25.033476,0.0 121.540772,25.033439,0.0 121.540808,25.033438,0.0 121.54116,25.03343,0.0 121.541896,25.033414,0.0 121.541927,25.033413,0.0 121.542568,25.033396,0.0 121.542953,25.033385,0.0 121.543006,25.033384,0.0 121.543155,25.03338,0.0 121.543395,25.033373,0.0 121.543617,25.033377,0.0 121.543626,25.033826,0.0 121.543651,25.035047,0.0 121.543651,25.035081,0.0 121.543652,25.035137,0.0 121.543659,25.035474,0.0 121.543662,25.035598,0.0 121.543662,25.035618,0.0 121.543665,25.03576,0.0 121.543671,25.036046,0.0 121.543672,25.03609,0.0 121.543686,25.036784,0.0 121.543686,25.036825,0.0 121.543693,25.03713,0.0 121.543693,25.037165,0.0 121.543709,25.037974,0.0</coordinates></LinearRing></outerBoundaryIs></Polygon>",3.03%,109,潘翰聲,7
